Order_ID,Order_Date,Shipping_Date,Delivery_Date,Region,City,Warehouse,Supplier,Product_ID,Category,Order_Quantity,Unit_Price,Total_Sales,Inventory_Level,Reorder_Level,Shipping_Mode,Delivery_Status
ORD1000,2023-10-09,2023-10-10,2023-10-14,North,Delhi,WH-A,Supplier Omega,P532,Electronics,4,356,1424,379,89,Standard,On Time
ORD1001,2023-08-27,2023-08-27,2023-09-05,North,Delhi,WH-E,Supplier Gamma,P928,Electronics,18,224,4032,112,77,Standard,Late
ORD1002,2023-10-12,2023-10-13,2023-10-17,West,Pune,WH-A,Supplier Gamma,P967,Home & Kitchen,11,62,682,47,68,Same Day,On Time
ORD1003,2024-04-15,2024-04-15,2024-04-22,East,Kolkata,WH-C,Supplier Omega,P296,Electronics,10,434,4340,321,99,Standard,On Time
ORD1004,2023-03-23,2023-03-24,2023-03-26,South,Chennai,WH-B,Supplier Gamma,P463,Clothing,15,335,5025,427,66,Same Day,On Time
ORD1005,2024-11-30,2024-11-30,2024-12-10,East,Patna,WH-D,Supplier Delta,P376,Health,18,383,6894,125,40,Standard,Late
ORD1006,2023-08-23,2023-08-23,2023-08-29,East,Kolkata,WH-C,Supplier Beta,P771,Sports,3,118,354,467,92,Express,On Time
ORD1007,2023-09-29,2023-09-30,2023-10-04,West,Mumbai,WH-D,Supplier Omega,P508,Home & Kitchen,18,144,2592,382,94,Standard,On Time
ORD1008,2024-05-20,2024-05-20,2024-05-21,South,Hyderabad,WH-E,Supplier Alpha,P494,Sports,5,331,1655,81,74,Same Day,On Time
ORD1009,2023-09-15,2023-09-15,2023-09-17,West,Ahmedabad,WH-A,Supplier Gamma,P545,Clothing,18,394,7092,136,63,Express,On Time
ORD1010,2023-09-27,2023-09-28,2023-10-07,North,Lucknow,WH-E,Supplier Beta,P256,Home & Kitchen,10,440,4400,327,84,Standard,Late
ORD1011,2023-11-28,2023-12-01,2023-12-02,North,Lucknow,WH-B,Supplier Alpha,P346,Health,12,459,5508,425,59,Standard,On Time
ORD1012,2024-05-12,2024-05-12,2024-05-21,North,Lucknow,WH-B,Supplier Gamma,P640,Health,5,347,1735,243,90,Express,Late
ORD1013,2024-12-07,2024-12-08,2024-12-13,South,Hyderabad,WH-D,Supplier Alpha,P353,Clothing,12,234,2808,460,86,Standard,On Time
ORD1014,2024-08-25,2024-08-26,2024-09-05,East,Kolkata,WH-B,Supplier Alpha,P132,Home & Kitchen,3,372,1116,323,27,Standard,Late
ORD1015,2024-11-16,2024-11-19,2024-11-23,South,Chennai,WH-D,Supplier Delta,P294,Electronics,19,305,5795,242,51,Standard,On Time
ORD1016,2024-03-09,2024-03-12,2024-03-20,West,Pune,WH-A,Supplier Delta,P845,Home & Kitchen,2,354,708,334,32,Standard,Late
ORD1017,2023-07-14,2023-07-17,2023-07-20,South,Bangalore,WH-D,Supplier Omega,P200,Electronics,9,246,2214,127,29,Same Day,On Time
ORD1018,2023-08-31,2023-09-01,2023-09-08,North,Delhi,WH-B,Supplier Delta,P102,Sports,7,452,3164,205,27,Express,On Time
ORD1019,2024-03-09,2024-03-12,2024-03-15,West,Pune,WH-A,Supplier Gamma,P158,Electronics,7,39,273,296,89,Same Day,On Time
ORD1020,2024-06-27,2024-06-28,2024-06-29,West,Ahmedabad,WH-E,Supplier Alpha,P791,Clothing,3,445,1335,95,28,Express,On Time
ORD1021,2023-09-10,2023-09-10,2023-09-20,North,Lucknow,WH-C,Supplier Beta,P785,Home & Kitchen,19,299,5681,267,60,Standard,Late
ORD1022,2023-05-15,2023-05-17,2023-05-25,East,Bhubaneswar,WH-E,Supplier Alpha,P175,Health,3,14,42,234,99,Standard,Late
ORD1023,2023-12-24,2023-12-24,2023-12-28,East,Kolkata,WH-C,Supplier Omega,P926,Health,6,234,1404,426,89,Standard,On Time
ORD1024,2023-04-17,2023-04-18,2023-04-23,East,Patna,WH-C,Supplier Gamma,P719,Clothing,4,390,1560,283,39,Same Day,On Time
ORD1025,2024-12-04,2024-12-06,2024-12-15,East,Kolkata,WH-C,Supplier Alpha,P103,Home & Kitchen,2,57,114,324,74,Standard,Late
ORD1026,2024-03-28,2024-03-31,2024-04-09,East,Kolkata,WH-E,Supplier Alpha,P954,Home & Kitchen,3,493,1479,452,39,Same Day,Cancelled
ORD1027,2023-05-11,2023-05-11,2023-05-16,South,Chennai,WH-B,Supplier Alpha,P462,Health,2,470,940,183,46,Express,On Time
ORD1028,2023-06-16,2023-06-17,2023-06-24,South,Bangalore,WH-B,Supplier Gamma,P263,Electronics,11,410,4510,476,72,Express,Cancelled
ORD1029,2023-08-16,2023-08-17,2023-08-25,North,Chandigarh,WH-D,Supplier Gamma,P385,Electronics,8,124,992,12,44,Express,Late
ORD1030,2024-06-05,2024-06-08,2024-06-17,East,Patna,WH-B,Supplier Omega,P371,Electronics,1,69,69,449,53,Standard,Late
ORD1031,2023-11-18,2023-11-21,2023-12-01,West,Pune,WH-B,Supplier Gamma,P145,Sports,4,207,828,460,93,Standard,Late
ORD1032,2024-03-17,2024-03-17,2024-03-23,South,Chennai,WH-E,Supplier Gamma,P782,Sports,4,378,1512,460,58,Express,On Time
ORD1033,2023-10-30,2023-10-31,2023-11-04,West,Ahmedabad,WH-E,Supplier Omega,P408,Sports,13,356,4628,383,42,Same Day,On Time
ORD1034,2023-10-21,2023-10-22,2023-10-29,North,Chandigarh,WH-D,Supplier Delta,P791,Clothing,20,345,6900,164,79,Same Day,On Time
ORD1035,2023-06-23,2023-06-23,2023-06-28,West,Ahmedabad,WH-C,Supplier Beta,P925,Clothing,20,181,3620,47,50,Standard,On Time
ORD1036,2023-09-08,2023-09-11,2023-09-21,North,Delhi,WH-E,Supplier Beta,P835,Sports,3,243,729,212,100,Express,Late
ORD1037,2023-06-01,2023-06-01,2023-06-03,West,Mumbai,WH-D,Supplier Alpha,P670,Clothing,8,100,800,411,86,Standard,On Time
ORD1038,2024-04-20,2024-04-22,2024-04-30,West,Mumbai,WH-D,Supplier Beta,P861,Sports,17,228,3876,425,90,Express,Late
ORD1039,2024-10-14,2024-10-16,2024-10-25,East,Kolkata,WH-C,Supplier Beta,P378,Home & Kitchen,8,150,1200,225,29,Express,Late
ORD1040,2023-06-04,2023-06-05,2023-06-12,North,Delhi,WH-C,Supplier Omega,P577,Sports,7,42,294,212,72,Standard,On Time
ORD1041,2024-02-03,2024-02-03,2024-02-13,South,Chennai,WH-D,Supplier Delta,P651,Health,1,492,492,180,58,Same Day,Late
ORD1042,2023-08-13,2023-08-15,2023-08-22,South,Chennai,WH-B,Supplier Delta,P230,Health,13,182,2366,342,71,Same Day,On Time
ORD1043,2024-08-29,2024-08-29,2024-08-31,North,Chandigarh,WH-A,Supplier Gamma,P488,Home & Kitchen,5,453,2265,236,43,Standard,On Time
ORD1044,2023-12-12,2023-12-15,2023-12-20,West,Pune,WH-D,Supplier Alpha,P867,Health,14,139,1946,427,30,Standard,On Time
ORD1045,2024-10-27,2024-10-27,2024-10-28,East,Kolkata,WH-E,Supplier Beta,P344,Clothing,8,112,896,429,22,Express,On Time
ORD1046,2023-08-12,2023-08-15,2023-08-20,North,Lucknow,WH-B,Supplier Gamma,P210,Health,6,320,1920,310,34,Standard,On Time
ORD1047,2024-11-24,2024-11-27,2024-12-04,East,Patna,WH-B,Supplier Alpha,P813,Home & Kitchen,7,48,336,303,100,Same Day,On Time
ORD1048,2023-02-12,2023-02-14,2023-02-23,North,Lucknow,WH-A,Supplier Delta,P942,Sports,12,45,540,259,63,Standard,Late
ORD1049,2024-10-12,2024-10-15,2024-10-18,West,Pune,WH-E,Supplier Delta,P576,Sports,17,343,5831,138,98,Same Day,On Time
ORD1050,2023-09-09,2023-09-09,2023-09-14,East,Bhubaneswar,WH-E,Supplier Delta,P444,Electronics,8,394,3152,237,92,Express,On Time
ORD1051,2024-05-14,2024-05-15,2024-05-21,East,Kolkata,WH-C,Supplier Omega,P110,Health,11,153,1683,450,96,Standard,On Time
ORD1052,2024-02-21,2024-02-24,2024-03-04,North,Delhi,WH-D,Supplier Alpha,P195,Home & Kitchen,16,340,5440,364,82,Standard,Late
ORD1053,2023-09-07,2023-09-09,2023-09-19,West,Ahmedabad,WH-E,Supplier Gamma,P460,Sports,18,281,5058,176,74,Express,Late
ORD1054,2023-08-25,2023-08-25,2023-08-29,East,Bhubaneswar,WH-B,Supplier Beta,P856,Sports,18,496,8928,390,43,Express,On Time
ORD1055,2023-07-18,2023-07-20,2023-07-24,East,Kolkata,WH-B,Supplier Gamma,P146,Electronics,10,17,170,362,88,Same Day,On Time
ORD1056,2023-05-10,2023-05-13,2023-05-15,East,Patna,WH-D,Supplier Gamma,P288,Electronics,19,155,2945,240,81,Express,On Time
ORD1057,2023-03-08,2023-03-11,2023-03-19,West,Mumbai,WH-C,Supplier Alpha,P354,Electronics,2,87,174,76,92,Same Day,Late
ORD1058,2024-09-02,2024-09-03,2024-09-12,West,Ahmedabad,WH-D,Supplier Gamma,P682,Health,15,162,2430,440,95,Standard,Late
ORD1059,2024-10-02,2024-10-03,2024-10-08,North,Delhi,WH-A,Supplier Beta,P102,Sports,6,132,792,88,90,Express,On Time
ORD1060,2023-02-03,2023-02-04,2023-02-09,West,Pune,WH-C,Supplier Omega,P777,Clothing,15,46,690,351,49,Express,On Time
ORD1061,2023-08-19,2023-08-20,2023-08-25,North,Lucknow,WH-E,Supplier Omega,P395,Sports,3,40,120,84,59,Standard,On Time
ORD1062,2023-11-08,2023-11-11,2023-11-16,West,Ahmedabad,WH-A,Supplier Delta,P852,Home & Kitchen,16,234,3744,41,96,Same Day,On Time
ORD1063,2023-04-04,2023-04-05,2023-04-15,East,Kolkata,WH-E,Supplier Alpha,P881,Clothing,1,401,401,344,54,Express,Late
ORD1064,2023-07-05,2023-07-08,2023-07-16,West,Pune,WH-C,Supplier Alpha,P978,Clothing,16,188,3008,209,62,Express,Late
ORD1065,2024-05-22,2024-05-24,2024-05-31,West,Ahmedabad,WH-C,Supplier Gamma,P431,Electronics,18,28,504,232,31,Express,On Time
ORD1066,2024-07-09,2024-07-12,2024-07-19,North,Lucknow,WH-D,Supplier Alpha,P308,Home & Kitchen,17,195,3315,318,83,Same Day,On Time
ORD1067,2024-03-24,2024-03-27,2024-03-29,South,Chennai,WH-C,Supplier Omega,P114,Health,20,419,8380,122,40,Express,Cancelled
ORD1068,2023-04-27,2023-04-30,2023-05-02,North,Delhi,WH-E,Supplier Gamma,P525,Sports,5,265,1325,477,57,Express,On Time
ORD1069,2024-07-18,2024-07-19,2024-07-26,South,Chennai,WH-A,Supplier Gamma,P891,Sports,20,270,5400,382,37,Express,On Time
ORD1070,2023-10-17,2023-10-19,2023-10-29,East,Kolkata,WH-E,Supplier Delta,P453,Home & Kitchen,16,453,7248,76,77,Same Day,Late
ORD1071,2023-11-26,2023-11-27,2023-12-01,West,Pune,WH-A,Supplier Gamma,P862,Sports,8,448,3584,397,72,Same Day,On Time
ORD1072,2024-11-10,2024-11-11,2024-11-19,West,Pune,WH-C,Supplier Alpha,P995,Sports,5,267,1335,494,95,Standard,Late
ORD1073,2023-05-28,2023-05-31,2023-06-03,West,Mumbai,WH-A,Supplier Gamma,P972,Health,9,183,1647,319,70,Express,On Time
ORD1074,2024-05-14,2024-05-14,2024-05-24,East,Patna,WH-D,Supplier Alpha,P878,Electronics,10,126,1260,382,31,Express,Late
ORD1075,2023-11-03,2023-11-03,2023-11-04,South,Hyderabad,WH-D,Supplier Beta,P350,Health,2,160,320,183,67,Express,On Time
ORD1076,2023-06-29,2023-06-29,2023-07-09,South,Bangalore,WH-E,Supplier Beta,P337,Sports,20,359,7180,123,83,Same Day,Late
ORD1077,2023-09-19,2023-09-19,2023-09-27,East,Bhubaneswar,WH-C,Supplier Omega,P406,Sports,18,90,1620,37,76,Same Day,Late
ORD1078,2023-11-06,2023-11-07,2023-11-14,East,Bhubaneswar,WH-C,Supplier Omega,P402,Home & Kitchen,4,131,524,195,93,Standard,On Time
ORD1079,2023-01-09,2023-01-09,2023-01-19,West,Pune,WH-E,Supplier Gamma,P324,Clothing,10,407,4070,409,49,Same Day,Late
ORD1080,2024-11-06,2024-11-07,2024-11-09,East,Patna,WH-A,Supplier Omega,P473,Clothing,2,168,336,403,76,Standard,On Time
ORD1081,2024-03-01,2024-03-02,2024-03-06,East,Bhubaneswar,WH-E,Supplier Omega,P379,Clothing,18,458,8244,497,66,Express,On Time
ORD1082,2023-12-13,2023-12-13,2023-12-21,West,Pune,WH-D,Supplier Omega,P474,Electronics,5,396,1980,494,48,Express,Late
ORD1083,2024-07-03,2024-07-03,2024-07-11,North,Chandigarh,WH-A,Supplier Beta,P582,Electronics,9,309,2781,195,67,Same Day,Late
ORD1084,2023-08-15,2023-08-15,2023-08-23,East,Patna,WH-B,Supplier Alpha,P138,Home & Kitchen,10,342,3420,209,34,Express,Late
ORD1085,2023-08-29,2023-08-30,2023-09-06,North,Delhi,WH-D,Supplier Alpha,P953,Sports,18,224,4032,300,39,Same Day,On Time
ORD1086,2023-02-03,2023-02-05,2023-02-09,West,Pune,WH-C,Supplier Omega,P760,Home & Kitchen,8,447,3576,185,32,Standard,On Time
ORD1087,2023-07-14,2023-07-14,2023-07-22,West,Pune,WH-A,Supplier Alpha,P905,Home & Kitchen,7,338,2366,327,96,Standard,Late
ORD1088,2023-07-30,2023-07-30,2023-08-08,South,Hyderabad,WH-C,Supplier Beta,P907,Health,7,426,2982,445,49,Standard,Late
ORD1089,2023-05-14,2023-05-16,2023-05-19,East,Kolkata,WH-B,Supplier Omega,P431,Electronics,1,77,77,7,65,Standard,On Time
ORD1090,2023-05-10,2023-05-13,2023-05-22,East,Kolkata,WH-E,Supplier Omega,P211,Sports,3,253,759,229,66,Same Day,Late
ORD1091,2023-02-14,2023-02-16,2023-02-24,South,Hyderabad,WH-D,Supplier Alpha,P602,Sports,1,41,41,245,71,Standard,Late
ORD1092,2024-09-14,2024-09-15,2024-09-17,North,Chandigarh,WH-C,Supplier Delta,P711,Health,20,334,6680,299,90,Express,On Time
ORD1093,2024-09-11,2024-09-14,2024-09-16,West,Ahmedabad,WH-B,Supplier Delta,P562,Clothing,4,446,1784,335,90,Express,On Time
ORD1094,2024-02-13,2024-02-16,2024-02-18,East,Bhubaneswar,WH-B,Supplier Delta,P168,Electronics,11,350,3850,130,67,Standard,On Time
ORD1095,2023-04-09,2023-04-11,2023-04-14,North,Chandigarh,WH-C,Supplier Alpha,P520,Home & Kitchen,19,499,9481,287,91,Same Day,On Time
ORD1096,2023-02-22,2023-02-24,2023-03-06,West,Ahmedabad,WH-B,Supplier Delta,P329,Electronics,4,305,1220,259,47,Express,Late
ORD1097,2023-10-13,2023-10-14,2023-10-21,East,Kolkata,WH-A,Supplier Omega,P773,Home & Kitchen,20,324,6480,345,91,Standard,On Time
ORD1098,2024-12-20,2024-12-22,2024-12-28,South,Chennai,WH-D,Supplier Alpha,P245,Electronics,6,455,2730,73,92,Standard,On Time
ORD1099,2024-03-05,2024-03-08,2024-03-14,South,Chennai,WH-E,Supplier Alpha,P153,Clothing,10,379,3790,166,92,Standard,On Time
ORD1100,2023-03-25,2023-03-27,2023-04-04,North,Lucknow,WH-C,Supplier Beta,P873,Health,16,320,5120,226,73,Standard,Late
ORD1101,2023-04-24,2023-04-26,2023-05-06,East,Bhubaneswar,WH-E,Supplier Alpha,P107,Clothing,10,33,330,112,70,Express,Late
ORD1102,2023-09-19,2023-09-21,2023-09-27,South,Bangalore,WH-B,Supplier Delta,P645,Clothing,16,392,6272,220,42,Same Day,On Time
ORD1103,2024-02-11,2024-02-11,2024-02-18,East,Kolkata,WH-D,Supplier Omega,P514,Sports,3,451,1353,160,93,Express,Cancelled
ORD1104,2023-01-22,2023-01-24,2023-01-27,North,Chandigarh,WH-A,Supplier Delta,P964,Electronics,20,245,4900,425,66,Standard,On Time
ORD1105,2024-02-15,2024-02-15,2024-02-22,West,Ahmedabad,WH-A,Supplier Omega,P748,Electronics,11,123,1353,170,41,Same Day,On Time
ORD1106,2023-12-26,2023-12-27,2023-12-31,South,Chennai,WH-B,Supplier Alpha,P281,Sports,9,111,999,88,97,Express,On Time
ORD1107,2024-08-01,2024-08-03,2024-08-09,West,Ahmedabad,WH-C,Supplier Gamma,P705,Electronics,3,250,750,226,100,Express,On Time
ORD1108,2024-04-17,2024-04-20,2024-04-21,North,Chandigarh,WH-E,Supplier Omega,P619,Sports,10,49,490,330,31,Express,On Time
ORD1109,2024-08-08,2024-08-09,2024-08-15,North,Chandigarh,WH-D,Supplier Alpha,P930,Home & Kitchen,17,87,1479,490,27,Same Day,On Time
ORD1110,2024-10-23,2024-10-24,2024-10-25,North,Lucknow,WH-E,Supplier Beta,P472,Home & Kitchen,15,234,3510,268,86,Express,On Time
ORD1111,2023-12-13,2023-12-13,2023-12-19,West,Pune,WH-C,Supplier Gamma,P841,Health,4,295,1180,347,69,Standard,On Time
ORD1112,2024-08-19,2024-08-20,2024-08-26,East,Kolkata,WH-C,Supplier Omega,P485,Home & Kitchen,13,76,988,304,30,Standard,On Time
ORD1113,2024-11-17,2024-11-20,2024-11-29,North,Lucknow,WH-C,Supplier Delta,P296,Clothing,12,168,2016,92,47,Standard,Late
ORD1114,2023-10-30,2023-10-30,2023-11-08,South,Bangalore,WH-E,Supplier Beta,P711,Sports,17,29,493,338,63,Standard,Late
ORD1115,2024-12-10,2024-12-11,2024-12-19,South,Bangalore,WH-D,Supplier Omega,P391,Sports,12,356,4272,368,50,Standard,Late
ORD1116,2024-04-25,2024-04-26,2024-05-02,South,Chennai,WH-D,Supplier Omega,P640,Sports,19,235,4465,236,56,Standard,On Time
ORD1117,2023-05-22,2023-05-24,2023-05-25,South,Hyderabad,WH-E,Supplier Alpha,P391,Electronics,12,293,3516,478,33,Standard,On Time
ORD1118,2024-06-09,2024-06-10,2024-06-17,East,Bhubaneswar,WH-A,Supplier Delta,P154,Sports,8,428,3424,230,64,Same Day,On Time
ORD1119,2024-01-31,2024-01-31,2024-02-06,East,Kolkata,WH-B,Supplier Beta,P139,Home & Kitchen,11,486,5346,50,62,Express,On Time
ORD1120,2024-04-25,2024-04-28,2024-05-08,South,Hyderabad,WH-B,Supplier Omega,P844,Health,3,19,57,131,47,Same Day,Cancelled
ORD1121,2023-10-23,2023-10-24,2023-10-29,West,Mumbai,WH-D,Supplier Alpha,P213,Sports,8,224,1792,327,99,Same Day,On Time
ORD1122,2024-06-11,2024-06-12,2024-06-15,North,Lucknow,WH-E,Supplier Delta,P291,Electronics,1,324,324,180,50,Same Day,On Time
ORD1123,2024-06-22,2024-06-22,2024-06-29,East,Kolkata,WH-C,Supplier Alpha,P465,Electronics,2,335,670,198,67,Express,On Time
ORD1124,2024-11-03,2024-11-03,2024-11-13,South,Hyderabad,WH-E,Supplier Gamma,P933,Clothing,11,78,858,22,65,Same Day,Late
ORD1125,2024-05-05,2024-05-06,2024-05-09,West,Ahmedabad,WH-A,Supplier Beta,P142,Home & Kitchen,15,28,420,150,45,Express,On Time
ORD1126,2024-04-29,2024-05-01,2024-05-02,West,Ahmedabad,WH-C,Supplier Gamma,P227,Home & Kitchen,7,156,1092,182,26,Express,On Time
ORD1127,2024-03-26,2024-03-29,2024-04-04,West,Ahmedabad,WH-E,Supplier Gamma,P920,Electronics,16,364,5824,254,67,Same Day,On Time
ORD1128,2024-03-16,2024-03-17,2024-03-26,West,Mumbai,WH-C,Supplier Delta,P717,Sports,4,50,200,167,57,Standard,Late
ORD1129,2024-04-02,2024-04-02,2024-04-08,West,Pune,WH-A,Supplier Delta,P472,Health,14,150,2100,327,27,Same Day,On Time
ORD1130,2023-05-27,2023-05-30,2023-05-31,South,Bangalore,WH-C,Supplier Delta,P680,Electronics,8,408,3264,330,66,Same Day,On Time
ORD1131,2024-04-05,2024-04-07,2024-04-13,South,Hyderabad,WH-C,Supplier Delta,P421,Home & Kitchen,3,303,909,70,87,Standard,On Time
ORD1132,2023-07-10,2023-07-13,2023-07-22,North,Delhi,WH-D,Supplier Beta,P726,Home & Kitchen,18,70,1260,134,53,Same Day,Late
ORD1133,2023-05-06,2023-05-07,2023-05-09,West,Mumbai,WH-C,Supplier Alpha,P663,Health,15,54,810,414,60,Express,On Time
ORD1134,2024-12-29,2024-12-30,2025-01-05,East,Kolkata,WH-B,Supplier Delta,P126,Home & Kitchen,4,112,448,405,37,Same Day,On Time
ORD1135,2024-07-18,2024-07-19,2024-07-29,East,Bhubaneswar,WH-E,Supplier Delta,P887,Sports,3,168,504,203,81,Same Day,Late
ORD1136,2023-11-21,2023-11-21,2023-11-29,North,Delhi,WH-E,Supplier Beta,P886,Clothing,17,186,3162,65,90,Express,Late
ORD1137,2024-06-14,2024-06-15,2024-06-20,North,Delhi,WH-C,Supplier Omega,P390,Electronics,11,488,5368,363,48,Express,On Time
ORD1138,2024-07-18,2024-07-20,2024-07-23,South,Hyderabad,WH-B,Supplier Omega,P694,Clothing,20,283,5660,47,84,Standard,On Time
ORD1139,2023-02-12,2023-02-12,2023-02-14,East,Patna,WH-E,Supplier Delta,P732,Electronics,19,145,2755,333,46,Express,On Time
ORD1140,2023-11-06,2023-11-09,2023-11-13,East,Patna,WH-A,Supplier Beta,P550,Sports,13,162,2106,232,29,Express,On Time
ORD1141,2023-12-15,2023-12-16,2023-12-22,West,Mumbai,WH-D,Supplier Beta,P878,Home & Kitchen,11,385,4235,440,64,Same Day,On Time
ORD1142,2023-09-05,2023-09-08,2023-09-10,North,Chandigarh,WH-C,Supplier Delta,P984,Health,8,82,656,49,26,Express,On Time
ORD1143,2023-12-02,2023-12-04,2023-12-08,South,Bangalore,WH-C,Supplier Delta,P123,Electronics,16,273,4368,239,83,Express,On Time
ORD1144,2023-08-09,2023-08-11,2023-08-12,West,Mumbai,WH-C,Supplier Omega,P108,Electronics,16,315,5040,451,80,Express,On Time
ORD1145,2024-01-10,2024-01-13,2024-01-19,South,Chennai,WH-C,Supplier Omega,P395,Electronics,2,301,602,287,44,Express,On Time
ORD1146,2023-10-14,2023-10-14,2023-10-17,West,Ahmedabad,WH-E,Supplier Gamma,P873,Clothing,13,201,2613,406,63,Standard,On Time
ORD1147,2023-02-11,2023-02-11,2023-02-12,West,Ahmedabad,WH-D,Supplier Beta,P720,Health,11,421,4631,242,86,Standard,On Time
ORD1148,2023-11-23,2023-11-24,2023-12-01,East,Patna,WH-E,Supplier Omega,P601,Health,10,313,3130,172,84,Express,On Time
ORD1149,2024-01-13,2024-01-15,2024-01-17,West,Mumbai,WH-A,Supplier Omega,P585,Home & Kitchen,19,167,3173,407,100,Same Day,On Time
ORD1150,2023-02-22,2023-02-25,2023-02-28,South,Hyderabad,WH-B,Supplier Beta,P132,Health,20,406,8120,430,68,Same Day,On Time
ORD1151,2023-01-20,2023-01-23,2023-01-29,North,Delhi,WH-E,Supplier Omega,P582,Electronics,14,363,5082,104,72,Same Day,On Time
ORD1152,2023-08-01,2023-08-03,2023-08-11,South,Hyderabad,WH-E,Supplier Gamma,P659,Home & Kitchen,11,499,5489,88,78,Same Day,Late
ORD1153,2024-05-10,2024-05-11,2024-05-15,East,Patna,WH-C,Supplier Beta,P806,Sports,10,125,1250,482,58,Express,On Time
ORD1154,2024-07-27,2024-07-29,2024-08-03,West,Pune,WH-C,Supplier Beta,P397,Electronics,18,204,3672,458,70,Express,On Time
ORD1155,2024-03-28,2024-03-30,2024-04-07,North,Chandigarh,WH-C,Supplier Beta,P211,Health,18,148,2664,477,91,Same Day,Late
ORD1156,2023-02-21,2023-02-22,2023-02-26,South,Bangalore,WH-A,Supplier Beta,P105,Health,14,179,2506,367,80,Standard,On Time
